Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;
Jordan [Eastern Mediterranean];2004;Both sexes;162.0;null;191.0;
Lithuania [Europe];2004;Female;138.0;null;278.0;
United States of America [Americas];2004;Female;71.0;null;329.0;
Equatorial Guinea [Africa];2004;Both sexes;158.0;null;113.0;
Kyrgyzstan [Europe];2004;Male;513.0;null;;
Morocco [Eastern Mediterranean];2004;Male;233.0;null;;
Uruguay [Americas];2004;Both sexes;88.0;null;198.0;
Dominica [Americas];2004;Both sexes;72.0;null;286.0;
Jamaica [Americas];2004;Both sexes;103.0;null;173.0;
Congo [Africa];2004;Both sexes;99.0;null;119.0;
Angola [Africa];2004;Both sexes;255.0;null;218.0;
Niue [Western Pacific];2004;Male;106.0;null;5;
Ireland [Europe];2004;Male;164.0;null;;
Benin [Africa];2004;Male;130.0;null;;
Suriname [Americas];2004;Male;207.0;null;12.0;
Jamaica [Americas];2004;Male;131.0;null;2;
Suriname [Americas];2004;Both sexes;168.0;null;110.0;
Paraguay [Americas];2004;Male;139.0;null;;
Australia [Western Pacific];2004;Female;107.0;null;337.0;
Lebanon [Eastern Mediterranean];2004;Female;253.0;null;257.0;
Malawi [Africa];2004;Female;70.0;null;126.0;
Sudan [Eastern Mediterranean];2004;Female;141.0;null;347.0;
Algeria [Africa];2004;Female;72.0;null;212.0;
Belgium [Europe];2004;Both sexes;148.0;null;200.0;
Ethiopia [Africa];2004;Female;66.0;null;197.0;
India [South-East Asia];2004;Male;430.0;null;1;
Comoros [Africa];2004;Both sexes;74.0;null;73.0;
Bosnia and Herzegovina [Europe];2004;Both sexes;135.0;null;124.0;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;129.0;null;35.0;
Marshall Islands [Western Pacific];2004;Female;139.0;null;365.0;
Mauritius [Africa];2004;Male;101.0;null;1;
Slovenia [Europe];2004;Female;111.0;null;301.0;
Czechia [Europe];2004;Both sexes;236.0;null;141.0;
Sri Lanka [South-East Asia];2004;Both sexes;649.0;null;129.0;
