Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Switzerland [Europe];null;null;2000;Male;76.89114;null;6;16.22191;6.19868;;100.0397;
North Macedonia [Europe];null;null;2000;Male;68.85978;null;17;11.79903;17.14423;;158.5503;
Honduras [Americas];null;null;2010;Both sexes;71.14799;null;;14.25695;23.32099;;155.5137;
Netherlands [Europe];null;null;2010;Male;78.74343;null;5;17.0222;4.83864;;73.70737;
Comoros [Africa];null;null;2015;Both sexes;66.45436;null;;13.52699;72.31719;;227.3448;
Ghana [Africa];null;null;2000;Female;60.7991;null;92;12.75125;91.97852;;285.6948;
Turkmenistan [Europe];null;null;2010;Both sexes;67.31309;null;;13.56327;43.11668;;188.3671;
Saint Lucia [Americas];null;null;2000;Both sexes;73.21431;null;;15.24767;18.35941;;185.8917;
Central African Republic [Africa];null;null;2015;Male;48.1875;null;133;8.37994;129.58559;;427.837;
Ukraine [Europe];null;null;2000;Male;62.05736;null;20;10.71663;20.20357;;373.9026;
Iraq [Eastern Mediterranean];null;null;2019;Female;74.96682;null;23;15.00202;23.43225;;;
Egypt [Eastern Mediterranean];null;null;2000;Female;72.41843;null;70;14.66693;44.80293;54.51466;125.2272;
Hungary [Europe];null;null;2000;Male;67.06995;null;11;11.61489;11.071;;270.5503;
Morocco [Eastern Mediterranean];null;null;2000;Both sexes;69.34715;null;;14.06094;52.3183;;158.6355;
South Africa [Africa];null;null;2010;Female;59.23687;null;48;13.37995;48.72953;;374.6816;
Afghanistan [Eastern Mediterranean];null;null;2015;Female;62.34584;null;58;10.93705;66.72909;46.44006;210.2209;
Republic of Moldova [Europe];null;null;2010;Both sexes;68.81108;null;;12.69445;17.14683;;223.3403;
Madagascar [Africa];null;null;2019;Female;66.59742;null;46;12.94762;47.14839;;;
Algeria [Africa];null;null;2015;Female;77.50346;null;24;15.99016;23.7169;;84.95995;
Democratic People's Republic of Korea [South-East Asia];null;null;2000;Female;66.83568;null;55;12.99968;55.16718;;140.1152;
Kyrgyzstan [Europe];null;null;2000;Male;61.94992;null;55;11.75945;54.80334;;306.4887;
Iraq [Eastern Mediterranean];null;null;2000;Male;66.43359;null;48;12.77416;47.97227;;180.4046;
Gabon [Africa];null;null;2019;Male;63.59354;null;47;11.36483;47.22064;;;
Kenya [Africa];null;null;2000;Female;54.91045;null;93;12.95927;92.59469;;449.2458;
Eritrea [Africa];null;null;2010;Both sexes;60.69732;null;;10.65963;55.05282;;292.65;
Yemen [Eastern Mediterranean];null;null;2010;Both sexes;67.70083;null;;13.31551;58.79103;;233.9352;
Guinea-Bissau [Africa];null;null;2010;Male;53.04755;null;121;9.67485;122.57901;;313.3946;
Seychelles [Africa];null;null;2010;Both sexes;73.01305;null;;14.06732;14.09338;;180.6093;
Ireland [Europe];null;null;2010;Female;82.43913;null;4;18.69198;3.78698;;48.50829;
Niger [Africa];null;null;2015;Female;62.86394;null;90;13.10845;89.68651;;239.986;
Gabon [Africa];null;null;2015;Male;62.1062;null;54;11.16076;55.0162;;245.9332;
null;null;Western Pacific;2019;Male;74.76109;null;;15.42007;12.15789;;;
Netherlands [Europe];null;null;2015;Both sexes;81.28043;null;;18.11818;4.0474;;58.31594;
Zambia [Africa];null;null;2000;Female;45.24248;null;143;11.06645;146.78448;;565.705;
Spain [Europe];null;null;2000;Female;82.47808;null;5;18.70385;4.93364;;48.1721;
null;Upper-middle-income;null;2015;Both sexes;75.43716;null;;15.65101;;;;
Djibouti [Eastern Mediterranean];null;null;2000;Both sexes;59.84435;null;;12.45159;100.9508;;322.1953;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2015;Female;82.34264;null;;18.53356;4.02271;;53.60549;
Honduras [Americas];null;null;2000;Both sexes;70.03738;null;;14.73864;37.00356;;176.0553;
Brazil [Americas];null;null;2010;Female;77.6834;null;16;16.6507;16.37005;;100.1341;
Singapore [Western Pacific];null;null;2019;Both sexes;83.22195;null;;19.95232;2.39771;;;
Suriname [Americas];null;null;2019;Both sexes;71.48003;null;;14.05085;18.11339;;;
Denmark [Europe];null;null;2000;Both sexes;76.93244;null;;15.97797;5.69459;;99.82043;
Togo [Africa];null;null;2015;Both sexes;61.9192;null;;12.38159;75.85424;;271.0376;
Slovakia [Europe];null;null;2015;Male;73.47845;null;7;13.97397;6.82548;;150.4396;
Bulgaria [Europe];null;null;2015;Both sexes;74.55482;null;;14.95505;8.17971;;136.1949;
Mozambique [Africa];null;null;2000;Female;53.05186;null;163;12.3584;164.0746;;400.3164;
Bulgaria [Europe];null;null;2010;Female;77.23328;null;10;16.17179;9.60988;;88.1432;
C\u00f4te d'Ivoire [Africa];null;null;2015;Female;62.9637;null;;13.27322;81.58399;;388.9448;
Nepal [South-East Asia];null;null;2010;Both sexes;69.18102;null;;13.29038;45.88971;;178.0045;
Mexico [Americas];null;null;2000;Both sexes;74.40966;null;;15.81126;28.38474;;138.4833;
Netherlands [Europe];null;null;2019;Both sexes;81.79341;null;;18.44313;4.11628;;;
Bhutan [South-East Asia];null;null;2019;Female;74.38692;null;26;14.67025;25.87774;;;
Thailand [South-East Asia];null;null;2010;Female;79.29691;null;12;17.99722;12.03904;;105.8751;
Suriname [Americas];null;null;2010;Female;75.12329;null;20;16.24979;20.32203;;139.2887;
Uzbekistan [Europe];null;null;2019;Male;70.76344;null;20;13.65819;16.78844;;;
Namibia [Africa];null;null;2010;Female;64.65546;null;45;13.7861;44.63582;;288.7079;
Venezuela (Bolivarian Republic of) [Americas];null;null;2000;Both sexes;74.08585;null;;16.01593;21.57475;;172.837;
Tunisia [Eastern Mediterranean];null;null;2010;Male;73.94846;null;20;14.76719;19.9557;;123.9978;
Angola [Africa];null;null;2000;Male;46.77004;null;215;9.66284;215.5735;;423.0116;
Slovenia [Europe];null;null;2015;Male;77.56738;null;3;15.81425;2.80184;;100.8584;
Vanuatu [Western Pacific];null;null;2000;Female;66.94464;null;26;12.07227;26.12738;;159.3828;
Australia [Western Pacific];null;null;2015;Both sexes;82.2783;null;;18.63227;3.87426;;62.16942;
Sierra Leone [Africa];null;null;2010;Male;53.65493;null;167;11.30655;168.15381;;416.7615;
Uganda [Africa];null;null;2000;Female;50.75184;null;149;12.43637;134.69313;85.22172;503.2486;
Slovakia [Europe];null;null;2000;Male;69.15716;null;11;12.19284;10.7416;;214.4105;
Iceland [Europe];null;null;2000;Male;77.74491;null;4;16.66646;4.37734;;94.51;
Bosnia and Herzegovina [Europe];null;null;2015;Both sexes;76.31874;null;;15.04338;6.26099;;93.71987;
South Africa [Africa];null;null;2015;Male;59.81857;null;40;11.7119;39.04723;;362.1808;
France [Europe];null;null;2015;Female;84.71786;null;4;20.67051;3.74323;;49.09708;
Canada [Americas];null;null;2010;Male;79.25688;null;6;17.6227;6.16985;;85.22147;
Ireland [Europe];null;null;2019;Male;80.19894;null;4;17.98501;3.41946;;;
Niger [Africa];null;null;2000;Male;49.73235;null;229;11.80897;229.07548;;306.0474;
Ukraine [Europe];null;null;2015;Female;76.96429;null;9;16.24105;8.5003;;102.1876;
null;null;Europe;2000;Both sexes;72.51141;null;;15.01415;21.01756;;163.4557;
Montenegro [Europe];null;null;2010;Female;77.12196;null;6;15.70152;6.24204;;75.71799;
Azerbaijan [Europe];null;null;2015;Male;67.94234;null;29;12.09003;28.73973;;162.6613;
null;null;Africa;2019;Female;66.64575;null;;13.9057;68.54672;;;
Sierra Leone [Africa];null;null;2000;Female;50.73185;null;218;11.91238;214.52721;;518.7059;
Tajikistan [Europe];null;null;2019;Female;71.54912;null;30;13.42208;29.09492;;;
null;High-income;null;2000;Both sexes;77.62743;null;;16.62752;;;;
Dominican Republic [Americas];null;null;2015;Male;68.62415;null;34;14.54579;37.98955;;205.1802;
South Sudan [Africa];null;null;2015;Male;59.80157;null;100;11.85512;102.60862;;340.1797;
Sweden [Europe];null;null;2000;Male;77.28465;null;5;16.27746;4.51206;;87.11546;
Morocco [Eastern Mediterranean];null;null;2019;Male;71.68313;null;23;13.66537;21.37777;;;
Lithuania [Europe];null;null;2015;Both sexes;74.37679;null;;15.37627;4.92966;;165.4295;
Austria [Europe];null;null;2000;Both sexes;78.16925;null;;16.73284;5.50465;;93.71532;
Congo [Africa];null;null;2010;Female;60.84641;null;57;11.80619;57.16381;;285.6181;
Guatemala [Americas];null;null;2015;Both sexes;70.94937;null;;14.61989;28.33312;;164.7438;
United Arab Emirates [Eastern Mediterranean];null;null;2019;Male;75.09794;null;8;14.13019;7.46795;;;
Dominican Republic [Americas];null;null;2000;Female;76.66166;null;37;18.7254;36.56012;;167.4162;
France [Europe];null;null;2019;Both sexes;82.47668;null;;19.70331;4.3473;;;
Namibia [Africa];null;null;2019;Male;60.58327;null;46;10.84028;45.66166;;;
null;null;Western Pacific;2000;Male;69.7961;null;;13.67848;37.21756;;134.3119;
Bhutan [South-East Asia];null;null;2000;Female;66.59171;null;73;13.41362;73.03781;;309.7979;
Djibouti [Eastern Mediterranean];null;null;2019;Male;64.09922;null;62;12.90791;62.65276;;;
New Zealand [Western Pacific];null;null;2019;Both sexes;81.96268;null;;18.55309;4.87325;;;
Papua New Guinea [Western Pacific];null;null;2000;Male;61.12458;null;75;11.45689;75.15957;;309.6725;
Saint Vincent and the Grenadines [Americas];null;null;2010;Both sexes;72.85194;null;;15.28791;19.83281;;163.2422;
Hungary [Europe];null;null;2000;Female;75.63371;null;9;15.20037;9.15271;;114.273;
Antigua and Barbuda [Americas];null;null;2015;Both sexes;76.13984;null;;15.76024;7.75477;;121.9186;
Seychelles [Africa];null;null;2019;Both sexes;73.34014;null;;14.07134;14.25602;;;
Denmark [Europe];null;null;2019;Both sexes;81.31571;null;;18.22544;3.74976;;;
null;null;Americas;2010;Both sexes;75.43713;null;;16.2981;19.56842;;135.1848;
Belize [Americas];null;null;2019;Female;77.76621;null;11;17.6037;11.08536;;;
Cambodia [Western Pacific];null;null;2010;Male;64.19041;null;76;11.74081;48.44788;66.15639;230.6135;
Solomon Islands [Western Pacific];null;null;2015;Male;62.34483;null;24;11.2407;24.7891;;167.3211;
Ethiopia [Africa];null;null;2015;Female;68.64172;null;56;14.15368;55.51117;;200.1324;
Brunei Darussalam [Western Pacific];null;null;2015;Female;75.50254;null;10;14.63054;9.59614;;85.09579;
Estonia [Europe];null;null;2015;Both sexes;77.60223;null;;16.8495;3.06001;;115.7813;
null;null;Eastern Mediterranean;2015;Male;66.81009;null;;13.04849;54.92744;;176.3758;
Azerbaijan [Europe];null;null;2000;Both sexes;65.52002;null;;13.0793;74.42826;;161.0383;
Croatia [Europe];null;null;2000;Both sexes;74.3574;null;;14.42671;8.30022;;132.972;
Thailand [South-East Asia];null;null;2015;Female;80.69901;null;10;18.69044;9.64;;92.48376;
Guatemala [Americas];null;null;2019;Female;75.04476;null;22;15.53778;21.81549;;;
Ethiopia [Africa];null;null;2010;Female;64.5482;null;74;13.51678;73.94263;;237.2151;
Republic of Korea [Western Pacific];null;null;2010;Male;77.12246;null;4;16.42243;4.44205;;107.5845;
Luxembourg [Europe];null;null;2019;Both sexes;82.41467;null;;18.52149;2.81501;;;
Chad [Africa];null;null;2000;Female;52.98417;null;176;11.82985;174.97428;;388.4662;
Estonia [Europe];null;null;2000;Female;76.173;null;10;16.0678;9.6069;;119.5214;
Saudi Arabia [Eastern Mediterranean];null;null;2000;Female;71.61943;null;21;12.57195;21.02964;;94.15898;
Belgium [Europe];null;null;2010;Male;77.23535;null;5;16.26272;4.95592;;102.3624;
null;null;Europe;2010;Both sexes;75.71659;null;;16.26784;11.64865;;135.8376;
Finland [Europe];null;null;2015;Male;78.52988;null;3;17.00725;2.72142;;94.39836;
Honduras [Americas];null;null;2015;Female;72.1263;null;17;13.96104;17.11414;;120.5968;
Maldives [South-East Asia];null;null;2015;Male;77.56042;null;11;16.01494;10.71039;;65.18732;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2000;Both sexes;72.56416;null;;14.2584;36.21895;;153.2721;
Somalia [Eastern Mediterranean];null;null;2015;Female;57.30913;null;126;12.00357;127.67854;;280.3712;
Saint Lucia [Americas];null;null;2000;Male;70.30642;null;20;14.24203;19.94497;;225.4236;
Kyrgyzstan [Europe];null;null;2019;Both sexes;74.18089;null;;15.68259;18.30456;;;
Egypt [Eastern Mediterranean];null;null;2010;Male;67.81892;null;30;12.6976;30.2261;;218.0526;
null;null;Eastern Mediterranean;2019;Both sexes;69.7439;null;;13.63477;46.02697;;;
Ghana [Africa];null;null;2019;Both sexes;66.27741;null;;12.93606;46.37147;;;
Viet Nam [Western Pacific];null;null;2000;Female;75.60954;null;25;15.61431;24.56964;;78.52613;
Syrian Arab Republic [Eastern Mediterranean];null;null;2019;Both sexes;72.67168;null;;13.93914;22.19461;;;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2010;Both sexes;80.24544;null;;17.7792;5.16953;;73.7941;
Sao Tome and Principe [Africa];null;null;2015;Both sexes;69.60426;null;;13.04656;23.14939;;191.6002;
Gambia [Africa];null;null;2019;Male;63.41956;null;56;12.1089;55.91738;;;
Mozambique [Africa];null;null;2019;Male;54.45667;null;79;9.84661;77.29282;;;
Montenegro [Europe];null;null;2019;Female;78.65294;null;2;16.30991;2.42794;;;
Democratic Republic of the Congo [Africa];null;null;2010;Both sexes;57.50722;null;;11.6876;113.82086;;283.1616;
Panama [Americas];null;null;2000;Both sexes;77.23182;null;;17.58398;26.02227;;119.6115;
null;null;Eastern Mediterranean;2010;Both sexes;67.57658;null;;13.25898;59.28794;;157.5534;
Benin [Africa];null;null;2010;Male;58.03378;null;117;11.59142;115.41421;;281.6049;
Spain [Europe];null;null;2015;Both sexes;82.33084;null;;18.78876;3.30797;;57.71033;
null;null;Eastern Mediterranean;2015;Female;70.13887;null;;13.62882;48.18293;;127.4566;
Norway [Europe];null;null;2000;Male;75.85964;null;5;15.33585;5.37701;;106.3235;
Papua New Guinea [Western Pacific];null;null;2019;Female;67.36317;null;41;12.82493;41.63181;;;
Tonga [Western Pacific];null;null;2019;Both sexes;72.57066;null;;14.46401;11.68341;;;
Burundi [Africa];null;null;2000;Both sexes;43.78423;null;;9.92586;154.46708;;369.9736;
Norway [Europe];null;null;2015;Female;83.70757;null;2;19.06187;2.43853;;41.7037;
Guyana [Americas];null;null;2010;Female;68.23239;null;32;13.24382;32.64981;;209.2664;
Belarus [Europe];null;null;2015;Female;78.79088;null;4;16.74561;3.56327;;82.43147;
Belize [Americas];null;null;2000;Both sexes;70.34421;null;;14.729;23.56434;;198.3718;
Samoa [Western Pacific];null;null;2019;Female;71.8475;null;14;13.49084;15.63628;;;
Croatia [Europe];null;null;2010;Both sexes;76.71532;null;;15.43758;5.4786;;105.6965;
null;Low-income;null;2019;Female;67.18551;null;;13.67206;;;;
Solomon Islands [Western Pacific];null;null;2010;Both sexes;63.69107;null;;11.4169;26.3784;;170.2832;
Togo [Africa];null;null;2010;Male;57.04078;null;94;10.8077;94.83665;;322.2615;
Bulgaria [Europe];null;null;2000;Both sexes;71.60985;null;;13.66152;17.5186;;162.7159;
Brunei Darussalam [Western Pacific];null;null;2019;Female;75.35551;null;10;14.67007;10.30767;;;
Lao People's Democratic Republic [Western Pacific];null;null;2010;Male;62.43504;null;74;11.92871;74.20882;;239.9881;
Oman [Eastern Mediterranean];null;null;2000;Both sexes;69.07159;null;;11.74196;16.46436;;138.6335;
Djibouti [Eastern Mediterranean];null;null;2015;Female;66.61913;null;60;14.18398;60.25258;;223.297;
Brazil [Americas];null;null;2010;Male;70.57493;null;21;14.45106;20.78138;;207.975;
Uganda [Africa];null;null;2015;Both sexes;64.46594;null;;13.13109;55.69748;;292.9727;
Democratic People's Republic of Korea [South-East Asia];null;null;2015;Male;68.42332;null;23;13.22016;23.27147;;167.8367;
Sri Lanka [South-East Asia];null;null;2019;Male;73.79943;null;8;13.81919;7.8699;;;
Guyana [Americas];null;null;2019;Both sexes;65.6929;null;;12.50978;29.33619;;;
Samoa [Western Pacific];null;null;2000;Male;66.45629;null;23;12.40518;23.17677;;222.2624;
Mali [Africa];null;null;2015;Female;61.41174;null;107;12.42237;102.3204;49.8168;268.6837;
Sri Lanka [South-East Asia];null;null;2015;Female;79.4123;null;8;16.54615;7.7965;;73.63712;
Panama [Americas];null;null;2019;Female;82.05693;null;13;19.19726;13.23651;;;
Honduras [Americas];null;null;2010;Female;72.10579;null;21;14.29642;20.7499;;128.9583;
null;null;Africa;2015;Both sexes;62.5606;null;;12.91933;83.58706;;283.1567;
Colombia [Americas];null;null;2000;Female;77.84826;null;23;17.08881;22.08494;20.13898;104.2147;
Hungary [Europe];null;null;2015;Male;72.16216;null;6;13.27581;5.47998;;179.3605;
Bahrain [Eastern Mediterranean];null;null;2015;Both sexes;76.46371;null;;14.19108;7.58355;;58.51819;
Venezuela (Bolivarian Republic of) [Americas];null;null;2019;Male;69.91373;null;26;15.00601;26.16781;;;
Bosnia and Herzegovina [Europe];null;null;2000;Female;78.03024;null;9;16.09879;8.73207;;87.23774;
Iraq [Eastern Mediterranean];null;null;2010;Both sexes;70.24248;null;;13.90278;34.93083;;144.4268;
Barbados [Americas];null;null;2019;Both sexes;76.0344;null;;16.34141;12.63365;;;
United Arab Emirates [Eastern Mediterranean];null;null;2010;Male;73.86103;null;9;13.85226;9.57998;;87.90246;
Luxembourg [Europe];null;null;2015;Male;80.2582;null;3;17.6443;3.03308;;69.1089;
Bosnia and Herzegovina [Europe];null;null;2019;Female;79.08524;null;5;16.2497;5.2646;;;
Saint Lucia [Americas];null;null;2019;Both sexes;74.32764;null;;15.80993;23.98948;;;
Ireland [Europe];null;null;2019;Both sexes;81.84092;null;;18.57723;3.15413;;;
Mexico [Americas];null;null;2010;Male;72.22916;null;21;15.19916;20.99437;;178.1216;
Maldives [South-East Asia];null;null;2010;Male;76.01637;null;15;15.26852;15.25656;;84.18464;
Zambia [Africa];null;null;2010;Female;59.06268;null;74;12.90925;72.88142;;327.2626;
Bhutan [South-East Asia];null;null;2000;Both sexes;65.69579;null;;13.49435;77.22646;;308.6709;
China [Western Pacific];null;null;2010;Both sexes;74.88925;null;;14.90901;15.75244;;87.96339;
Dominican Republic [Americas];null;null;2010;Female;76.14426;null;31;17.6475;31.88076;;134.0678;
Peru [Americas];null;null;2000;Male;72.86416;null;64;16.83533;41.19327;45.97744;187.563;
Libya [Eastern Mediterranean];null;null;2015;Female;76.90043;null;12;15.83767;11.88435;;101.2617;
Niger [Africa];null;null;2019;Both sexes;63.28761;null;;12.99449;80.34467;;;
Saudi Arabia [Eastern Mediterranean];null;null;2015;Female;75.24725;null;8;14.05731;8.80351;;78.97034;
Dominican Republic [Americas];null;null;2010;Both sexes;73.16863;null;;16.62566;35.14155;;179.6748;
Kiribati [Western Pacific];null;null;2015;Female;61.36722;null;52;10.84366;52.67671;;158.5137;
Bhutan [South-East Asia];null;null;2000;Male;64.88332;null;81;13.56152;81.14823;;307.9606;
Barbados [Americas];null;null;2015;Both sexes;76.21642;null;;16.76877;14.03;;100.8793;
Japan [Western Pacific];null;null;2015;Male;80.69969;null;3;18.38635;2.88692;;68.11588;
Sri Lanka [South-East Asia];null;null;2019;Female;79.81407;null;6;16.60402;6.49678;;;
Romania [Europe];null;null;2015;Male;71.27955;null;10;13.61956;10.09782;;190.8511;
Czechia [Europe];null;null;2019;Both sexes;79.1303;null;;16.32435;3.04222;;;
Iceland [Europe];null;null;2015;Both sexes;82.13903;null;;18.87289;2.2828;;54.38107;
Suriname [Americas];null;null;2015;Both sexes;72.60451;null;;15.04786;20.34135;;182.3828;
Vanuatu [Western Pacific];null;null;2019;Male;62.65745;null;28;11.53446;27.61191;;;
Bulgaria [Europe];null;null;2019;Both sexes;75.07156;null;;15.24149;6.56466;;;
Antigua and Barbuda [Americas];null;null;2015;Male;74.43078;null;8;15.14347;8.38025;;140.0305;
Brunei Darussalam [Western Pacific];null;null;2010;Female;75.84433;null;9;14.69248;8.81733;;73.40955;
Ecuador [Americas];null;null;2019;Female;80.50043;null;12;18.19527;11.85698;;;
Iceland [Europe];null;null;2015;Male;80.6871;null;2;18.44136;2.46673;;67.9719;
Germany [Europe];null;null;2019;Both sexes;81.72252;null;;18.46814;3.7321;;;
El Salvador [Americas];null;null;2010;Male;70.61619;null;21;15.62379;21.30972;;280.0661;
null;null;South-East Asia;2010;Female;69.98708;null;;13.5937;53.49089;;152.946;
Israel [Europe];null;null;2015;Male;79.95578;null;4;18.06057;4.18034;;74.98832;
Liberia [Africa];null;null;2000;Male;52.89455;null;198;11.33749;200.07311;;333.8411;
Russian Federation [Europe];null;null;2019;Male;68.17734;null;6;12.76915;6.42253;;;
Uzbekistan [Europe];null;null;2019;Female;75.21384;null;15;15.27962;12.78826;;;
