Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;
Nigeria [Africa];2004;Male;181.0;null;;265.0;25.1;
Zambia [Africa];2004;Both sexes;117.0;null;64.0;114.0;20.6;
Algeria [Africa];2004;Female;72.0;null;212.0;7;2.9;
Georgia [Europe];2004;Both sexes;90.0;null;134.0;533.0;19.4;
Uzbekistan [Europe];2004;Female;87.0;null;148.0;32.0;2.7;
Turkmenistan [Europe];2004;Female;101.0;null;135.0;65.0;0.6;
Malawi [Africa];2004;Male;129.0;null;;99.0;19.0;
Kuwait [Eastern Mediterranean];2004;Male;136.0;null;;10.0;5.8;
Sweden [Europe];2004;Both sexes;107.0;null;117.0;766.0;0.8;
Niue [Western Pacific];2004;Male;106.0;null;5;1362.0;2.2;
Ireland [Europe];2004;Male;164.0;null;;746.0;2.0;
Madagascar [Africa];2004;Both sexes;104.0;null;86.0;60.0;26.1;
Malaysia [Western Pacific];2004;Both sexes;128.0;null;125.0;274.0;4.4;
Gambia [Africa];2004;Female;89.0;null;108.0;19.0;0.3;
Mexico [Americas];2004;Male;200.0;null;2;562.0;10.3;
Italy [Europe];2004;Male;170.0;null;7;87.0;1.4;
Antigua and Barbuda [Americas];2004;Both sexes;94.0;null;283.0;500.0;9.8;
Philippines [Western Pacific];2004;Female;87.0;null;290.0;114.0;5.4;
Finland [Europe];2004;Female;146.0;null;245.0;218.0;0.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;344.0;null;;115.0;15.5;
Togo [Africa];2004;Male;139.0;null;;92.0;27.9;
Oman [Eastern Mediterranean];2004;Female;78.0;null;171.0;0;0.0;
Bahrain [Eastern Mediterranean];2004;Both sexes;110.0;null;116.0;169.0;2.7;
Yemen [Eastern Mediterranean];2004;Female;435.0;null;362.0;1;4.5;
Namibia [Africa];2004;Male;101.0;null;;236.0;15.9;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;72.0;null;351.0;262.0;0.6;
Trinidad and Tobago [Americas];2004;Male;183.0;null;4;599.0;13.5;
Cabo Verde [Africa];2004;Both sexes;79.0;null;140.0;113.0;7.4;
Suriname [Americas];2004;Both sexes;168.0;null;110.0;439.0;14.9;
Libya [Eastern Mediterranean];2004;Female;130.0;null;214.0;0;0.3;
Liberia [Africa];2004;Male;180.0;null;;199.0;49.3;
Botswana [Africa];2004;Female;78.0;null;226.0;28.0;0.3;
Belarus [Europe];2004;Male;672.0;null;3;1590.0;1.9;
Poland [Europe];2004;Both sexes;273.0;null;138.0;458.0;3.3;
Saint Kitts and Nevis [Americas];2004;Female;30.0;null;348.0;169.0;0.0;
Afghanistan [Eastern Mediterranean];2004;Female;279.0;null;506.0;3;6.0;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;122.0;null;1;1061.0;4.0;
Lesotho [Africa];2004;Both sexes;66.0;null;45.0;97.0;14.4;
Armenia [Europe];2004;Both sexes;157.0;null;310.0;157.0;13.8;
Niger [Africa];2004;Female;109.0;null;373.0;10.0;2.4;
Uganda [Africa];2004;Both sexes;133.0;null;80.0;246.0;15.9;
Jordan [Eastern Mediterranean];2004;Male;210.0;null;1;66.0;11.1;
Nauru [Western Pacific];2004;Female;230.0;null;309.0;43.0;;
Eswatini [Africa];2004;Both sexes;119.0;null;69.0;162.0;25.7;
Malawi [Africa];2004;Female;70.0;null;126.0;15.0;2.0;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;179.0;null;179.0;592.0;15.0;
Palau [Western Pacific];2004;Male;106.0;null;7;4;1.8;
Guinea [Africa];2004;Male;172.0;null;;38.0;26.8;
Bosnia and Herzegovina [Europe];2004;Male;218.0;null;3;741.0;2.6;
Zambia [Africa];2004;Female;81.0;null;117.0;25.0;2.0;
Viet Nam [Western Pacific];2004;Both sexes;196.0;null;72.0;285.0;9.3;
Guyana [Americas];2004;Male;236.0;null;;729.0;19.3;
Comoros [Africa];2004;Female;63.0;null;140.0;6;0.1;
Sierra Leone [Africa];2004;Both sexes;218.0;null;261.0;161.0;34.7;
Brunei Darussalam [Western Pacific];2004;Male;143.0;null;;173.0;5.3;
Saint Lucia [Americas];2004;Female;58.0;null;286.0;180.0;0.0;
Grenada [Americas];2004;Both sexes;138.0;null;225.0;534.0;7.2;
Japan [Western Pacific];2004;Female;69.0;null;178.0;12.0;0.1;
Luxembourg [Europe];2004;Male;247.0;null;3;771.0;3.0;
Sri Lanka [South-East Asia];2004;Female;798.0;null;250.0;63.0;0.5;
Brazil [Americas];2004;Both sexes;161.0;null;177.0;627.0;10.6;
Denmark [Europe];2004;Both sexes;134.0;null;202.0;514.0;2.4;
Guinea-Bissau [Africa];2004;Female;96.0;null;419.0;21.0;0.4;
Bulgaria [Europe];2004;Female;68.0;null;241.0;135.0;0.1;
Eswatini [Africa];2004;Male;144.0;null;;310.0;28.8;
Germany [Europe];2004;Both sexes;103.0;null;161.0;519.0;2.4;
Brunei Darussalam [Western Pacific];2004;Both sexes;110.0;null;102.0;100.0;4.6;
Barbados [Americas];2004;Male;77.0;null;;823.0;7.7;
Gabon [Africa];2004;Both sexes;124.0;null;81.0;189.0;22.6;
Thailand [South-East Asia];2004;Female;180.0;null;169.0;130.0;1.6;
Israel [Europe];2004;Female;48.0;null;334.0;48.0;0.1;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;210.0;null;79.0;336.0;14.1;
Canada [Americas];2004;Both sexes;85.0;null;172.0;596.0;1.7;
Grenada [Americas];2004;Female;85.0;null;409.0;146.0;0.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;300.0;null;85.0;59.0;14.6;
El Salvador [Americas];2004;Male;222.0;null;;1453.0;9.3;
Iceland [Europe];2004;Both sexes;134.0;null;148.0;291.0;0.9;
China [Western Pacific];2004;Male;379.0;null;;928.0;10.2;
Bangladesh [South-East Asia];2004;Both sexes;317.0;null;84.0;60.0;20.9;
Ethiopia [Africa];2004;Female;66.0;null;197.0;18.0;10.4;
Kenya [Africa];2004;Male;146.0;null;;199.0;20.5;
Azerbaijan [Europe];2004;Female;45.0;null;284.0;74.0;0.6;
Botswana [Africa];2004;Male;128.0;null;;246.0;35.3;
Niger [Africa];2004;Male;207.0;null;;34.0;16.4;
Morocco [Eastern Mediterranean];2004;Male;233.0;null;;133.0;13.6;
Slovakia [Europe];2004;Male;455.0;null;3;1316.0;4.7;
Bolivia (Plurinational State of) [Americas];2004;Male;230.0;null;;996.0;15.3;
